Country,Name,Continent
Afghanistan,Afghanistan,Asia
Åland Islands,Åland Islands,Europe
Albania,Albania,Europe
Algeria,Algeria,Africa
American Samoa,American Samoa,Oceania
Andorra,Andorra,Europe
Angola,Angola,Africa
Anguilla,Anguilla,Americas
Antarctica,Antarctica,
Antigua and Barbuda,Antigua and Barbuda,Americas
Argentina,Argentina,Americas
Armenia,Armenia,Asia
Aruba,Aruba,Americas
Australia,Australia,Oceania
Austria,Austria,Europe
Azerbaijan,Azerbaijan,Asia
Bahamas,Bahamas,Americas
Bahrain,Bahrain,Asia
Bangladesh,Bangladesh,Asia
Barbados,Barbados,Americas
Belarus,Belarus,Europe
Belgium,Belgium,Europe
Belize,Belize,Americas
Benin,Benin,Africa
Bermuda,Bermuda,Americas
Bhutan,Bhutan,Asia
Bolivia,Bolivia,Americas
"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba",Americas
Bosnia and Herzegovina,Bosnia and Herzegovina,Europe
Botswana,Botswana,Africa
Bouvet Island,Bouvet Island,
Brazil,Brazil,Americas
British Indian Ocean Territory,British Indian Ocean Territory,
Brunei Darussalam,Brunei Darussalam,Asia
Bulgaria,Bulgaria,Europe
Burkina Faso,Burkina Faso,Africa
Burundi,Burundi,Africa
Cambodia,Cambodia,Asia
Cameroon,Cameroon,Africa
Canada,Canada,Americas
Cabo Verde,Cabo Verde ,Africa
Cayman Islands,Cayman Islands,Americas
Central African Republic,Central African Republic,Africa
Chad,Chad,Africa
Chile,Chile,Americas
China,China,Asia
Christmas Island,Christmas Island,
Cocos (Keeling) Islands,Cocos (Keeling) Islands,
Colombia,Colombia,Americas
Comoros,Comoros,Africa
Congo (Brazzaville),Congo (Brazzaville),Africa
Congo (Kinshasa),Congo (Kinshasa),Africa
Cook Islands,Cook Islands,Oceania
Costa Rica,Costa Rica,Americas
Cote d'Ivoire,Cote d'Ivoire,Africa
Croatia,Croatia,Europe
Cuba,Cuba,Americas
Curaçao,Curaçao,Americas
Cyprus,Cyprus,Asia
Czech Republic,Czech Republic,Europe
Denmark,Denmark,Europe
Djibouti,Djibouti,Africa
Dominica,Dominica,Americas
Dominican Republic,Dominican Republic,Americas
Ecuador,Ecuador,Americas
Egypt,Egypt,Africa
El Salvador,El Salvador,Americas
Equatorial Guinea,Equatorial Guinea,Africa
Eritrea,Eritrea,Africa
Estonia,Estonia,Europe
Ethiopia,Ethiopia,Africa
Falkland Islands (Malvinas),Falkland Islands (Malvinas),Americas
Faroe Islands,Faroe Islands,Europe
Fiji,Fiji,Oceania
Finland,Finland,Europe
France,France,Europe
French Guiana,French Guiana,Americas
French Polynesia,French Polynesia,Oceania
French Southern Territories,French Southern Territories,
Gabon,Gabon,Africa
Gambia,Gambia,Africa
Georgia,Georgia,Asia
Germany,Germany,Europe
Ghana,Ghana,Africa
Gibraltar,Gibraltar,Europe
Greece,Greece,Europe
Greenland,Greenland,Americas
Grenada,Grenada,Americas
Guadeloupe,Guadeloupe,Americas
Guam,Guam,Oceania
Guatemala,Guatemala,Americas
Guernsey,Guernsey,Europe
Guinea,Guinea,Africa
Guinea-Bissau,Guinea-Bissau,Africa
Guyana,Guyana,Americas
Haiti,Haiti,Americas
Heard Island and McDonald Islands,Heard Island and McDonald Islands,
Holy See,Holy See,Europe
Honduras,Honduras,Americas
Hong Kong,Hong Kong,Asia
Hungary,Hungary,Europe
Iceland,Iceland,Europe
India,India,Asia
Indonesia,Indonesia,Asia
Iran,Iran,Asia
Iraq,Iraq,Asia
Ireland,Ireland,Europe
Isle of Man,Isle of Man,Europe
Israel,Israel,Asia
Italy,Italy,Europe
Jamaica,Jamaica,Americas
Japan,Japan,Asia
Jersey,Jersey,Europe
Jordan,Jordan,Asia
Kazakhstan,Kazakhstan,Asia
Kenya,Kenya,Africa
Kiribati,Kiribati,Oceania
South Korea,South Korea,Asia
North Korea,North Korea,Asia
Kuwait,Kuwait,Asia
Kyrgyzstan,Kyrgyzstan,Asia
Lao People's Democratic Republic,Lao People's Democratic Republic,Asia
Latvia,Latvia,Europe
Lebanon,Lebanon,Asia
Lesotho,Lesotho,Africa
